CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
33249;22913;7.36;2309;1018;10198;10959;10198;203;556;2985;8712;7642;14486;2070;10469;Lormont
33281;74009;48.17;4739;3113;37132;40395;37132;1805;1456;17749;58554;54096;49196;4308;38507;Mérignac
33318;65866;38.82;3734;2763;31608;33422;31608;554;1258;14900;33737;30603;44125;3823;30496;Pessac
33449;32357;85.28;1702;1233;13859;14311;13859;108;343;8782;10910;9601;20008;1429;15680;Saint-Médard-en-Jalles
33522;44359;8.35;2823;1637;25052;27392;25052;942;1397;8134;14638;12778;32685;2885;21036;Talence
33529;26269;180.2;1195;2001;13401;19009;13401;5030;577;7863;12791;10690;15101;1492;11537;La Teste-de-Buch
33550;38444;21.26;2593;1488;17943;18977;17943;243;789;9098;10472;8903;25668;2251;20256;Villenave-d'Ornon
34003;29201;50.81;1551;2218;15105;49827;15105;33610;1111;8120;9660;7473;15747;2845;10773;Agde
34032;78683;95.48;6639;5506;37108;46844;37108;2151;7584;15569;40075;34327;45592;6356;28306;Béziers
34057;23469;11.18;1446;878;11536;12641;11536;307;797;5495;9989;8508;14967;1299;11304;Castelnau-le-Lez
34108;23485;31.72;1401;1353;10650;14157;10650;3000;506;6365;6138;5077;14048;1568;10423;Frontignan
34145;26356;23.9;2028;1485;11432;12403;11432;170;800;5987;9019;7500;15881;2107;11253;Lunel
34172;299096;56.88;22893;10496;156459;177110;156459;7550;13101;48450;168989;145397;208168;27142;136819;Montpellier
34301;44576;24.21;2695;3339;23489;32912;23489;7053;2369;10802;16999;14076;24537;3263;16212;Sète
35115;20505;10.46;1145;1491;10772;12034;10772;218;1043;4645;11880;10918;12124;1419;8817;Fougères
35238;222485;50.39;15851;8757;117698;131904;117698;5541;8664;41100;148572;134615;157956;15910;105532;Rennes
35288;46995;36.58;2227;4043;25139;36877;25139;9873;1864;12983;28258;24419;26040;2296;18590;Saint-Malo
36044;43331;25.54;2921;3011;21947;26388;21947;657;3783;10241;23797;21789;25618;3211;18645;Châteauroux
37122;38750;32.41;2815;1996;17870;19209;17870;172;1166;8879;13080;11824;23193;2794;17037;Joué-lès-Tours
37261;137850;34.67;9732;6821;76487;88662;76487;3186;8988;25012;86209;77574;92553;10954;65088;Tours
38053;29389;24.37;2494;1469;13391;14799;13391;227;1180;5170;17978;15941;18114;2210;13882;Bourgoin-Jallieu
38151;36970;7.86;3338;1711;16041;17352;16041;216;1094;7399;16787;15503;21969;2654;15601;Échirolles
38169;23049;6.74;1887;1021;10870;11840;10870;114;855;5910;6599;5708;14586;1530;11044;Fontaine
38185;158240;18.13;13355;6607;83457;100467;83457;4808;12201;30701;98295;86340;109073;11063;76063;Grenoble
38421;38188;9.26;2946;1289;17210;18445;17210;239;994;7539;17183;15773;26982;2476;17064;Saint-Martin-d'Hères
38544;30059;22.65;2462;1714;14300;16252;14300;243;1708;5937;15325;13323;18332;1670;13662;Vienne
38563;20332;21.9;1509;1175;10150;11716;10150;181;1384;4677;11111;9495;12083;1192;9240;Voiron
39198;23611;38.37;1455;1523;12220;13569;12220;193;1154;5641;14144;12756;13714;1390;9597;Dole
40088;21044;19.7;1112;2161;11948;16581;11948;3120;1512;4595;15113;13146;12394;1755;8985;Dax
40192;29953;36.88;1697;1769;14739;16692;14739;325;1626;7200;22673;20702;19115;1926;13443;Mont-de-Marsan
41018;46660;37.46;3911;2655;22800;27077;22800;935;3341;8709;32461;29896;28300;3651;19524;Blois
42187;34415;16.12;2490;2545;18895;22813;18895;698;3219;7612;23390;20944;20123;2551;13634;Roanne
42207;35309;54.88;2595;2249;15285;17789;15285;145;2358;7382;11802;10289;20544;2148;14456;Saint-Chamond
42218;174082;79.97;13635;10420;85925;100669;85925;2402;12341;34065;82860;73608;107718;14649;72911;Saint-Étienne
44020;20450;31.5;1588;865;8520;8849;8520;62;266;5558;12904;12093;12993;979;9862;Bouguenais
44026;20463;43.42;994;861;8863;9952;8863;697;391;5231;18903;17701;13277;762;9321;Carquefou
44047;22680;44.03;1505;780;9479;9912;9479;68;364;6473;6664;5823;14620;963;11504;Couëron
44109;320732;65.19;25172;12656;168719;188419;168719;8629;11070;62431;204501;181926;222966;23445;162583;Nantes
44114;27438;27.67;1731;1262;11913;12706;11913;222;571;7864;12932;11733;16623;1219;12666;Orvault
44143;42993;13.78;3252;2201;20190;21810;20190;413;1206;11902;15566;13662;27235;2311;21206;Rezé
44162;49067;30.02;4224;1760;22822;24715;22822;517;1375;12849;44277;41666;30542;2912;23488;Saint-Herblain
44184;71887;46.79;4659;4573;35993;42243;35993;2796;3453;17432;40378;36772;42952;4720;31241;Saint-Nazaire
44190;27958;11.66;1806;1317;13430;14249;13430;240;577;8165;6978;6097;17377;1280;13606;Saint-Sébastien-sur-Loire
44215;25879;35.68;1471;1047;11160;11817;11160;174;482;7978;9813;8491;16090;916;12413;Vertou
45147;21104;10.12;2009;941;9292;9978;9292;99;586;4939;10501;9888;12838;1564;9830;Fleury-les-Aubrais
45232;22503;23.39;1192;1044;11101;11890;11101;188;601;6020;10510;9598;14121;910;10226;Olivet
45234;117026;27.48;10719;4732;58194;66934;58194;2085;6654;20772;69966;63726;77333;8896;56237;Orléans
45284;21396;13.7;1643;743;9318;10031;9318;113;598;4844;10648;9978;13475;1343;10200;Saint-Jean-de-Braye
46042;20159;64.72;1063;1619;10907;13081;10907;511;1661;5233;14389;12653;11816;1547;8575;Cahors
47001;32214;11.49;2510;2364;17320;21869;17320;1168;3380;5553;24787;22342;20590;2646;15141;Agen
47323;21690;81.32;1409;1873;10982;13193;10982;285;1925;6015;11129;9739;11972;1606;8290;Villeneuve-sur-Lot
49007;155876;42.71;11245;7346;83008;91382;83008;2675;5698;26912;89068;80203;104353;12590;71106;Angers
49023;23465;230.45;1577;1233;9452;10175;9452;129;592;7023;8198;6994;13966;860;11167;Beaupréau-en-Mauges
49092;21187;323.98;1552;1272;8441;9335;8441;153;739;5977;8539;7215;12956;742;10359;Chemillé-en-Anjou
49099;54357;87.47;3369;2694;25742;27616;25742;502;1371;14409;36713;33737;32549;3390;24914;Cholet
49301;25519;213.07;1831;1224;10132;10805;10132;89;583;7744;8173;6924;15742;892;12810;Sèvremoine
49328;26154;66.25;1554;2046;13323;15918;13323;836;1758;6251;14834;13051;15303;1888;10856;Saumur
50129;77789;68.54;4666;5067;38940;43509;38940;1626;2941;16990;39290;36263;49295;4560;36564;Cherbourg-en-Cotentin
51108;44336;26.05;3254;2644;21732;24058;21732;416;1909;7753;22850;21090;28039;3390;20294;Châlons-en-Champagne
