Ville;Sum_Nbr_demandeur_emploi;Avg_Taux_satisfaction;Avg_Nombre_retours_emploi;Avg_Taux_notification
Fontenay Sous Bois;2251;83;2585;95
Forbach;5418;93;5463;94
Forges Les Eaux;1940;82;3014;94
Fort De France ;4676;77;4104;95
Fougeres ;2432;88;4287;95
Frejus;3248;88;4822;94
Friville Escarbotin ;2229;84;3316;93
Futuroscope ;1899;82;3758;94
Gaillac ;2257;81;3112;93
Gap;4909;83;9251;92
Gardanne;3363;90;5030;96
Garges Les Gonesse;4078;82;4273;91
Gennevilliers;5550;83;5105;93
Gerardmer;635;83;978;96
Ghisonaccia;1552;94;1661;94
Gien ;2575;85;3757;94
Gisors;2202;86;3131;94
Givors;2731;89;3666;93
Gonesse;6220;83;7450;91
Grand Bourg;1028;83;642;94
Grande Synthe;3345;88;3469;94
Granville;2150;91;3339;92
Grasse;4341;93;6623;95
Graulhet ;2484;87;3424;94
Gravelines;1886;79;2420;93
Grenoble;8293;86;5785;94
Guebwiller;2403;85;3736;94
Gueret ;3015;80;3339;92
Guingamp ;3725;84;5536;94
Guyancourt;4410;82;5649;93
Hagondange;3255;84;4327;93
Haguenau;4364;90;6819;94
Halluin ;2636;74;3166;94
Ham;1704;80;2220;95
Harfleur;2561;86;3784;94
Haubourdin;3752;72;5130;93
Hayange;4195;88;4475;94
Hazebrouck ;1969;82;2677;93
Hem;2194;80;2234;92
Henin Beaumont;4012;85;5355;94
Herblay;4075;82;4655;94
Herouville St Clair ;3405;87;5069;94
Hesdin;1718;77;2344;94
Hirson;1651;89;1435;94
Honfleur ;1831;85;3021;95
Hyeres ;4895;90;7430;96
Ingre;4180;85;7621;93
Issoire;2214;87;3647;93
Issoudun;1132;91;1708;95
Issy Les Moulineaux;6063;82;7522;97
Istres;3187;89;4852;93
Ivry Sur Seine;3895;85;4118;93
Joigny;2417;81;3007;94
Jonzac ;2814;89;4102;95
Joue Les Tours;3327;85;5045;92
Juvisy Sur Orge;3439;84;4722;96
Kourou;2704;81;1662;97
L Aigle ;2484;84;3773;94
L Hay Les Roses;3622;88;4139;93
L Ile Rousse;1733;96;2266;95
L Isle Jourdain;1247;87;2223;94
La Baule ;2845;85;5294;91
La Ciotat;2767;86;4170;93
La Cote St Andre;2454;86;4112;90
La Courneuve ;4549;80;4698;96
La Couronne;4450;83;6507;93
La Ferte Bernard ;1538;81;2929;94
La Ferte Sous Jouarre;2390;78;2829;95
La Fleche ;1524;84;2729;95
La Garde;4003;87;7019;94
La Madeleine;3170;82;4377;94
La Possession;3971;84;3069;97
La Riviere;4905;85;2854;94
La Roche Sur Yon ;6673;85;6519;94
La Rochelle  ;7130;84;6080;95
La Seyne Sur Mer;3779;86;5602;92
La Teste De Buch;4129;88;7142;93
La Tour Du Pin;3039;84;5158;94
La Trinite;6727;86;3586;93
Labege ;3202;83;5200;92
Lagny Sur Marne ;2449;82;3249;95
Lagord;3157;86;5987;94
Lamballe ;1722;79;3540;93
Landerneau ;2214;88;3839;93
Lanester ;3198;85;5617;92
Langon ;5849;86;8006;94
Langres;1172;85;2179;96
Lannemezan ;1563;93;2674;94
Lannion ;3568;85;5573;94
Laon ;5359;83;5255;95
Laval ;2102;82;4107;94
Laval  ;2514;85;5282;93
Lavelanet ;1321;86;1607;95
Le Blanc Mesnil;3909;85;3849;95
Le Cannet;3958;86;5483;92
Le Cannet Des Maures;2908;89;3979;93
Le Cateau Cambresis;1792;87;1566;92
Le Creusot;1881;85;2599;94
Le Francois;2160;80;1685;94
Le Gosier;2838;75;1973;91
Le Grand Quevilly;3902;84;5041;93
Le Havre;10257;82;4298;94
Le Lamentin;4076;76;3679;94
Le Mans  ;14388;83;7173;94
Le Marin;3084;77;2511;94
Le Piton St Leu;6477;85;4289;94
Le Pont De Claix;2292;87;4073;94
Le Port ;5273;82;3562;93
Le Puy En Velay;3294;87;5220;93
Le Quesnoy;1474;75;1633;93
Le Tampon ;11159;83;6605;96
Le Treport;1335;84;2084;94
Le Vigan;3094;88;3138;92
Lens;8323;85;5418;93
Les Abymes;6507;79;1856;96
Les Herbiers ;2218;85;5856;93
Les Mureaux;5360;81;6182;94
Les Ulis;3096;89;4063;96
Lesparre Medoc;4252;87;5358;93
Levallois Perret;4160;91;4333;92
Lezignan Corbieres ;2540;93;3208;94
Libourne;7877;83;10008;93
Lievin ;3957;80;5507;94
Lille;16036;82;5066;93
Lillebonne;2558;85;3825;93
Lillers ;2615;87;3300;94
Limoges  ;9142;84;4435;94
Limoux;2448;88;2510;93
Lingolsheim Tanneries;3794;83;5683;91
Lisieux ;2791;87;4501;94
Livry Gargan ;3813;85;3920;94
Lomme;3260;84;4486;94
Longjumeau;3085;94;4079;90
Longlaville;3755;91;3569;87
Longuenesse ;5187;82;6676;94
Lons ;3250;83;5248;92
Lons-Le-Saunier Cedex;3107;83;5691;93
Lorient ;5110;87;4328;94
Lormont ;5138;78;8248;93
Loudeac ;2014;89;3219;94
Loudun;930;86;1704;95
Louhans Cedex;2217;83;3456;93
Lourdes;2654;92;4316;95
Louviers ;3436;88;5239;95
Luce;3003;84;4491;93
Lucon ;1706;86;2992;95
Lunel ;3190;85;3905;94
Luneville;3388;78;3754;93
Lure Cedex;2492;84;3135;92
Luxeuil Les Bains;1422;77;1888;94
Lyon;23633;83;5880;93
Machecoul;1421;83;3390;95
Macon;3847;89;6535;93
Maisons Alfort;6243;86;7120;93
Mamers;1419;74;2502;93
Mamoudzou;11959;61;5742;76
Manosque;4088;82;5677;95
Mantes La Jolie;10845;81;11195;90
Margny Les Compiegne;2869;84;3737;94
Marignane;3188;87;4068;93
Marmande ;3304;86;4827;94
Maromme ;2720;91;3721;96
Marseille;39177;87;6337;93
Marseille  ;19481;84;5698;93
Martigues ;5167;87;6899;94
Matoury;5734;79;3552;96
Maubeuge;7865;85;3510;93
Mayenne ;2030;87;4016;93
Meaux ;6325;83;8105;95
Melle;1384;94;2279;94
Mende ;2115;88;3574;91
Menton;3899;93;4742;88
Merignac ;3488;82;5976;93
Meru ;2849;81;3808;94
Metz;10212;91;4566;93
Meythet;3972;86;6454;91
Meyzieu;3152;90;4634;94
Millau ;2757;86;4106;95
Miramas;2272;89;3268;94
Mitry Mory ;4539;85;5501;94
Molsheim;3278;89;5662;92
Mondeville;5126;81;7277;94
Monistrol Sur Loire;2478;89;4368;94
Mont De Marsan ;4659;85;7515;92
Montaigu ;1010;87;2447;95
Montataire;3136;91;4232;94
Montauban ;8129;85;5645;93
Montbard;1863;84;2588;93
Montbeliard;2843;80;3704;91
Montbeliard Cedex;2155;87;2844;93
Montbrison;2755;88;5276;94
Montceau Les Mines Cedex;2124;87;2893;95
Montdidier;1717;88;2389;94
Montelimar;4896;84;6811;91
Montereau Fault Yonne;4133;88;4651;94
Montigny Les Metz;2817;91;3817;94
Montlucon;5001;82;5927;92
Montluel;2382;83;4004;93
Montmelian;928;98;2006;92
Montmorency;3278;81;3786;93
Montmorillon ;2105;89;3203;91
Montpellier  ;10577;86;13242;93
Montreuil;10344;84;10744;93
Montrouge;6892;81;7727;94
Montval Sur Loir;1336;78;2080;94
Morlaix ;4707;85;6983;93
Morne A L Eau;4351;82;2439;96
